District ID,School ID,District Name,School Name,County,AYP Report Type,Extended Code,AYP Designation 08-09,AYP ELA 08-09,AYP Math 08-09,AYP Grad-Attnd 08-09,AYP Designation 07-08,AYP ELA 07-08,AYP Math 07-08,AYP Grad-Attnd 07-08,Title I 08-09,Title 07-08,ELA All AYP,ELA EconDisadv AYP,ELA LimEngProf AYP,ELA Disabled AYP,ELA Asian AYP,ELA Black AYP,ELA Hispanic AYP,ELA Native AYP,ELA White AYP,ELA Multi AYP,ELA All Participation,ELA EconDisadv Participation,ELA LimEngProf Participation,ELA Disabled Participation,ELA Asian Participation,ELA Black Participation,ELA Hispanic Participation,ELA Native Participation,ELA White Participation,ELA Multi Participation,ELA All Acad Status,ELA EconDisadv Acad Status,ELA LimEngProf Acad Status,ELA Disabled Acad Status,ELA Asian Acad Status,ELA Black Acad Status,ELA Hispanic Acad Status,ELA Native Acad Status,ELA White Acad Status,ELA Multi Acad Status,ELA All Acad Growth,ELA EconDisadv Acad Growth,ELA LimEngProf Acad Growth,ELA Disabled Acad Growth,ELA Asian Acad Growth,ELA Black Acad Growth,ELA Hispanic Acad Growth,ELA Native Acad Growth,ELA White Acad Growth,ELA Multi Acad Growth,MATH All AYP,MATH EconDisadv AYP,MATH LimEngProf AYP,MATH Disabled AYP,MATH Asian AYP,MATH Black AYP,MATH Hispanic AYP,MATH Native AYP,MATH White AYP,MATH Multi AYP,MATH All Participation,MATH EconDisadv Participation,MATH LimEngProf Participation,MATH Disabled Participation,MATH Asian Participation,MATH Black Participation,MATH Hispanic Participation,MATH Native Participation,MATH White Participation,MATH Multi Participation,MATH All Acad Status,MATH EconDisadv Acad Status,MATH LimEngProf Acad Status,MATH Disabled Acad Status,MATH Asian Acad Status,MATH Black Acad Status,MATH Hispanic Acad Status,MATH Native Acad Status,MATH White Acad Status,MATH Multi Acad Status,MATH All Acad Growth,MATH EconDisadv Acad Growth,MATH LimEngProf Acad Growth,MATH Disabled Acad Growth,MATH Asian Acad Growth,MATH Black Acad Growth,MATH Hispanic Acad Growth,MATH Native Acad Growth,MATH White Acad Growth,MATH Multi Acad Growth,All Other Indicator,EconDisadv Other Indicator,LimEngProf Other Indicator,Disabled Other Indicator,Asian Other Indicator,Black Other Indicator,Hispanic Other Indicator,Native Other Indicator,White Other Indicator,Multi Other Indicator
2146,1359,Woodburn SD 103,Heritage Elementary,Marion,E,2Years,NOT MET,NOT MET,NOT MET,MET,NOT MET,MET,NOT MET,MET,Y,Y,MET,MET,NOT MET,NOT MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,NOT MET,NOT MET,NA,NA,MET,NA,MET,NA,NA,NA,NOT MET,NOT MET,NA,NA,NA,NA,NA,NA,MET,MET,MET,NOT MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,NOT MET,NA,NA,MET,NA,MET,NA,NA,NA,NA,NOT MET,NA,NA,NA,NA,NA,NA,MET,MET,MET,MET,NA,NA,MET,NA,NOT MET,NA
2146,1267,Woodburn SD 103,Lincoln Elementary School,Marion,E,2Years,MET,MET,MET,MET,NOT MET,NOT MET,NOT MET,MET,Y,Y,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,NOT MET,MET,NA,NA,NOT MET,NA,MET,NA,NA,NA,MET,NA,NA,NA,MET,NA,NA,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA
2146,796,Woodburn SD 103,Nellie Muir Elementary School,Marion,E,2Years,MET,MET,MET,MET,MET,MET,MET,MET,Y,Y,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA
2146,1360,Woodburn SD 103,Valor Middle School,Marion,E,2Years,MET,MET,MET,MET,NOT MET,NOT MET,NOT MET,MET,Y,Y,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,NOT MET,NOT MET,NA,NA,MET,NA,MET,NA,NA,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,MET,MET,NA,NA,MET,NA,NOT MET,NA
2146,797,Woodburn SD 103,Washington Elementary School,Marion,E,2Years,NOT MET,NOT MET,NOT MET,MET,NOT MET,NOT MET,NOT MET,MET,Y,Y,MET,MET,NOT MET,NOT MET,NA,NA,NOT MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,NOT MET,NOT MET,NA,NA,NOT MET,NA,NA,NA,NA,NA,NOT MET,NOT MET,NA,NA,NOT MET,NA,NA,NA,MET,MET,MET,MET,NA,NA,NOT MET,NA,MET,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA,MET,MET,NOT MET,NOT MET,NA,NA,NOT MET,NA,NA,NA,NA,NA,MET,MET,NA,NA,NOT MET,NA,NA,NA,MET,MET,MET,MET,NA,NA,MET,NA,MET,NA
2146,4541,Woodburn SD 103,Wellness Business and Sports School,Marion,HSG,2Years,MET,MET,MET,MET,NOTE,NOTE,NOTE,NOTE,Y,Y,MET,MET,MET,NA,NA,NA,MET,NA,NA,NA,MET,MET,MET,NA,NA,NA,MET,NA,NA,NA,MET,MET,MET,NA,NA,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,MET,NA,NA,NA,MET,NA,NA,NA,MET,MET,MET,NA,NA,NA,MET,NA,NA,NA,MET,MET,NOT MET,NA,NA,NA,MET,NA,NA,NA,NA,NA,MET,NA,NA,NA,NA,NA,NA,NA,MET,MET,MET,NA,NA,NA,MET,NA,NA,NA
2146,4542,Woodburn SD 103,Woodburn Academy of Art Science and Technology,Marion,HSG,2Years,NOT MET,NOT MET,NOT MET,MET,NOTE,NOTE,NOTE,NOTE,Y,Y,MET,MET,NOT MET,NA,NA,NA,MET,NA,MET,NA,MET,MET,MET,NA,NA,NA,MET,NA,MET,NA,MET,MET,NOT MET,NA,NA,NA,MET,NA,MET,NA,NA,NA,NOT MET,NA,NA,NA,NA,NA,NA,NA,NOT MET,NOT MET,NOT MET,NA,NA,NA,NOT MET,NA,MET,NA,MET,MET,MET,NA,NA,NA,MET,NA,MET,NA,NOT MET,NOT MET,NOT MET,NA,NA,NA,NOT MET,NA,MET,NA,NOT MET,NOT MET,NOT MET,NA,NA,NA,NOT MET,NA,NA,NA,MET,MET,MET,NA,NA,NA,MET,NA,MET,NA
2146,4230,Woodburn SD 103,Woodburn Arthur Academy,Marion,E,2Years,MET,MET,MET,MET,MET,MET,MET,MET,n,n,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA
2146,4543,Woodburn SD 103,Woodburn Arts and Communications Academy,Marion,HSG,2Years,NOT MET,MET,NOT MET,MET,NOTE,NOTE,NOTE,NOTE,Y,Y,MET,MET,MET,NA,NA,NA,MET,NA,MET,NA,MET,MET,MET,NA,NA,NA,MET,NA,MET,NA,MET,MET,MET,NA,NA,NA,MET,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,NOT MET,NA,NA,NA,MET,NA,MET,NA,MET,MET,MET,NA,NA,NA,MET,NA,MET,NA,MET,MET,NOT MET,NA,NA,NA,MET,NA,MET,NA,NA,NA,NOT MET,NA,NA,NA,NA,NA,NA,NA,MET,MET,MET,NA,NA,NA,MET,NA,MET,NA
2146,4544,Woodburn SD 103,Woodburn Success,Marion,HSA,2Years,NOT MET,NOT MET,NOT MET,NOT MET,NOTE,NOTE,NOTE,NOTE,Y,Y,NOT MET,NOT MET,NA,NA,NA,NA,MET,NA,NA,NA,NOT MET,NOT MET,NA,NA,NA,NA,MET,NA,NA,NA,NOT MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT MET,NOT MET,NA,NA,NA,NA,NA,NA,NA,NA,NOT MET,NOT MET,NA,NA,NA,NA,NA,NA,NA,NA,NOT MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NOT MET,NOT MET,NA,NA,NA,NA,NOT MET,NA,NA,NA
2251,1213,Yamhill Carlton SD 1,Carlton Elementary School,Yamhill,E,2Years,MET,MET,MET,MET,MET,MET,MET,MET,Y,Y,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA
2251,4564,Yamhill Carlton SD 1,Trask Mountain Middle,Yamhill,E,2Years,NOT MET,NOT MET,MET,MET,NOTE,NOTE,NOTE,NOTE,n,n,MET,MET,NA,NOT MET,NA,NA,NA,NA,MET,NA,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA,MET,MET,NA,NOT MET,NA,NA,NA,NA,MET,NA,NA,NA,NA,NOT MET,NA,NA,NA,NA,NA,NA,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA
2251,1238,Yamhill Carlton SD 1,Yamhill Carlton High School,Yamhill,HSG,2Years,MET,MET,MET,MET,MET,MET,MET,MET,n,n,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,MET,MET,NA,NA,NA,NA,NA,NA,MET,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MET,MET,NA,MET,NA,NA,NA,NA,MET,NA
